"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J5";"Molex_Mini-Fit_Jr_5566-24A_2x12_P4.20mm_Vertical";1;"ATX24pin";;;
2;"J1";"PinHeader_1x05_P2.54mm_Vertical";1;"I2C";;;
3;"J2";"Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical";1;"EPS";;;
4;"J4";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
5;"J7";"PinHeader_1x02_P2.54mm_Vertical";1;"pson ext";;;
6;"JP1,JP2";"PinHeader_1x03_P2.54mm_Vertical";2;"powerSelect";;;
7;"JP3";"PinHeader_1x03_P2.54mm_Vertical";1;"PSU_control";;;
8;"Q1";"TO-92";1;"Q_NPN_BCE";;;
9;"J6,J11";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";2;"12V out";;;
10;"J8";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";1;"5V out";;;
11;"J9";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";1;"5VSB out";;;
12;"J10";"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal";1;"3V3 out";;;
13;"J3";"USB_A_Stewart_SS-52100-001_Horizontal";1;"USB_A";;;
14;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"5K6";;;
15;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10K";;;
16;"R3,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";3;"10k";;;
17;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
